id,taxonID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonRemarks,language
https://www.gbif.org/species/2482976,https://www.gbif.org/species/2482976,Hemitriccus granadensis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hemitriccus,granadensis,,Especie,"(Hartlaub, 1843)",,es
https://www.gbif.org/species/2482999,https://www.gbif.org/species/2482999,Hemitriccus margaritaceiventer,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hemitriccus,margaritaceiventer,,Especie,"(Orbigny & Lafresnaye, 1837)",,es
https://www.gbif.org/species/2493957,https://www.gbif.org/species/2493957,Henicorhina leucophrys,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Henicorhina,leucophrys,,Especie,"(Tschudi, 1844)",,es
https://www.gbif.org/species/7340691,https://www.gbif.org/species/7340691,Henicorhina leucophrys leucophrys,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Henicorhina,leucophrys,leucophrys,Subespecie,,,es
https://www.gbif.org/species/2493958,https://www.gbif.org/species/2493958,Henicorhina leucosticta,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Henicorhina,leucosticta,,Especie,"(Cabanis, 1847)",,es
https://www.gbif.org/species/6088017,https://www.gbif.org/species/6088017,Henicorhina leucosticta albilateralis,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Henicorhina,leucosticta,albilateralis,Subespecie,"Chapman, 1917",,es
https://www.gbif.org/species/2481071,https://www.gbif.org/species/2481071,Herpetotheres cachinnans,Animalia,Chordata,Aves,Falconiformes,Falconidae,Herpetotheres,cachinnans,,Especie,"(Linnaeus, 1758)",,es
https://www.gbif.org/species/2488266,https://www.gbif.org/species/2488266,Heterospingus xanthopygius,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Heterospingus,xanthopygius,,Especie,"(P.L.Sclater, 1855)",,es
https://www.gbif.org/species/5229128,https://www.gbif.org/species/5229128,Himantopus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,,Especie,"(Statius Muller, 1776)",,es
https://www.gbif.org/species/7094883,https://www.gbif.org/species/7094883,Himantopus mexicanus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,mexicanus,Subespecie,,,es
https://www.gbif.org/species/2483242,https://www.gbif.org/species/2483242,Hirundinea ferruginea,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hirundinea,ferruginea,,Especie,"(Gmelin, 1788)",,es
https://www.gbif.org/species/9515886,https://www.gbif.org/species/9515886,Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,,Especie,"Linnaeus, 1758",,es
https://www.gbif.org/species/5230506,https://www.gbif.org/species/5230506,Hylophilus flavipes,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Hylophilus,flavipes,,Especie,"Lafresnaye, 1845",,es
https://www.gbif.org/species/2475165,https://www.gbif.org/species/2475165,Hypnelus ruficollis,Animalia,Chordata,Aves,Galbuliformes,Bucconidae,Hypnelus,ruficollis,,Especie,"(Wagler, 1829)",,es
https://www.gbif.org/species/7190952,https://www.gbif.org/species/7190952,Hypnelus ruficollis ruficollis,Animalia,Chordata,Aves,Galbuliformes,Bucconidae,Hypnelus,ruficollis,ruficollis,Subespecie,,,es
https://www.gbif.org/species/5229923,https://www.gbif.org/species/5229923,Icterus auricapillus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,auricapillus,,Especie,"Cassin, 1848",,es
https://www.gbif.org/species/5229924,https://www.gbif.org/species/5229924,Icterus chrysater,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,chrysater,,Especie,"(Lesson, 1844)",,es
https://www.gbif.org/species/5229928,https://www.gbif.org/species/5229928,Icterus chrysater giraudii,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,chrysater,giraudii,Subespecie,"Cassin, 1848",,es
https://www.gbif.org/species/2484340,https://www.gbif.org/species/2484340,Icterus galbula,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,galbula,,Especie,"(Linnaeus, 1758)",,es
https://www.gbif.org/species/5229869,https://www.gbif.org/species/5229869,Icterus mesomelas,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,mesomelas,,Especie,"(Wagler, 1829)",,es
https://www.gbif.org/species/5229939,https://www.gbif.org/species/5229939,Icterus nigrogularis,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,nigrogularis,,Especie,"(Hahn, 1819)",,es
https://www.gbif.org/species/2480719,https://www.gbif.org/species/2480719,Ictinia mississippiensis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,mississippiensis,,Especie,"(A.Wilson, 1811)",,es
https://www.gbif.org/species/2480720,https://www.gbif.org/species/2480720,Ictinia plumbea,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,plumbea,,Especie,"(Gmelin, 1788)",,es
https://www.gbif.org/species/2488677,https://www.gbif.org/species/2488677,Iridophanes pulcherrimus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Iridophanes,pulcherrimus,,Especie,"(P.L.Sclater, 1853)",,es
https://www.gbif.org/species/2488644,https://www.gbif.org/species/2488644,Iridosornis rufivertex,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Iridosornis,rufivertex,,Especie,"(Lafresnaye, 1842)",,es
https://www.gbif.org/species/2480852,https://www.gbif.org/species/2480852,Ixobrychus exilis,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,exilis,,Especie,"(Gmelin, 1789)",,es
https://www.gbif.org/species/6066445,https://www.gbif.org/species/6066445,Ixobrychus exilis bogotensis,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,exilis,bogotensis,Subespecie,"Chapman, 1914",,es
https://www.gbif.org/species/9628189,https://www.gbif.org/species/9628189,Ixothraupis guttata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Ixothraupis,guttata,,Especie,,,es
https://www.gbif.org/species/9355796,https://www.gbif.org/species/9355796,Ixothraupis guttata bogotensis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Ixothraupis,guttata,bogotensis,Subespecie,,,es
https://www.gbif.org/species/2481846,https://www.gbif.org/species/2481846,Jacana jacana,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana,jacana,,Especie,"(Linnaeus, 1766)",,es
https://www.gbif.org/species/2476226,https://www.gbif.org/species/2476226,Klais guimeti,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Klais,guimeti,,Especie,"(Bourcier, 1843)",,es
https://www.gbif.org/species/7192812,https://www.gbif.org/species/7192812,Klais guimeti guimeti,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Klais,guimeti,guimeti,Subespecie,,,es
https://www.gbif.org/species/9377161,https://www.gbif.org/species/9377161,Kleinothraupis atropileus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Kleinothraupis,atropileus,,Especie,,,es
https://www.gbif.org/species/9583643,https://www.gbif.org/species/9583643,Kleinothraupis atropileus atropileus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Kleinothraupis,atropileus,atropileus,Subespecie,,,es
https://www.gbif.org/species/2483043,https://www.gbif.org/species/2483043,Knipolegus poecilurus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Knipolegus,poecilurus,,Especie,"(P.L.Sclater, 1862)",,es
https://www.gbif.org/species/2476238,https://www.gbif.org/species/2476238,Lafresnaya lafresnayi,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lafresnaya,lafresnayi,,Especie,"(Boissonneau, 1840)",,es
